Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 11:21:12.001939-07:00,1188.5,679.1,972.2,944.1,826.9,775.3,1618.1,1616.2,3477.1,3468.6,1001.3,816.0,1451.6,3464.9,1253.3,1181.5,3467.4,3474.6,260.7,614.1,992.7,1318.7,491.7,1602.1,3484.4,3472.2,614.9,702.8,1518.0,987.6,893.2,805.2,2.0,0.0,4.0,8646.0,-9764.0,8285.0,-5450.0,-9.0,-3.0,-4.0,9.0,11.0,-11.0,5888.0,-13205.0,-7063.0,3081.0,-10.0,7.0,10.0,1.0
2022-05-06 11:21:12.061900-07:00,1198.2,672.5,972.2,944.1,824.4,775.3,1618.1,1616.2,3472.2,3477.1,1001.3,816.0,1459.8,3480.7,1253.3,1181.5,3467.4,3474.6,256.9,617.3,992.7,1318.7,487.7,1606.8,3484.4,3472.2,613.3,686.4,1518.0,987.6,894.9,807.7,1.0,-8.0,3.0,8645.0,-9767.0,8280.0,-5453.0,17.0,-4.0,-11.0,7.0,8.0,-10.0,5888.0,-13205.0,-7063.0,3082.0,18.0,-5.0,-2.0,1.0
2022-05-06 11:21:12.092224-07:00,1198.2,672.5,974.8,948.3,824.4,775.3,1610.5,1620.9,3472.2,3477.1,993.6,815.2,1459.8,3480.7,1250.6,1180.6,3479.5,3483.2,256.9,617.3,994.5,1317.8,487.7,1606.8,3480.7,3479.5,613.3,686.4,1513.4,985.9,894.9,807.7,7.0,-3.0,11.0,8646.0,-9765.0,8280.0,-5456.0,16.0,18.0,0.0,5.0,8.0,-8.0,5890.0,-13204.0,-7063.0,3085.0,9.0,1.0,7.0,1.0
2022-05-06 11:21:12.154777-07:00,1183.2,675.0,974.8,948.3,825.2,778.6,1610.5,1620.9,3468.6,3478.3,993.6,815.2,1464.4,3478.3,1250.6,1180.6,3479.5,3483.2,261.4,625.4,994.5,1317.8,490.9,1606.8,3480.7,3479.5,617.3,682.3,1513.4,985.9,894.9,810.2,3.0,-7.0,0.0,8642.0,-9767.0,8282.0,-5455.0,-20.0,0.0,-7.0,8.0,5.0,-8.0,5888.0,-13206.0,-7063.0,3082.0,-9.0,-6.0,-3.0,1.0
2022-05-06 11:21:12.211909-07:00,1183.2,675.0,973.9,947.5,825.2,778.6,1611.5,1620.9,3468.6,3478.3,997.0,818.5,1464.4,3478.3,1256.9,1176.2,3488.0,3474.6,261.4,625.4,995.3,1325.0,490.9,1606.8,3475.9,3483.2,617.3,682.3,1519.9,992.7,894.9,810.2,1.0,-8.0,2.0,8642.0,-9766.0,8277.0,-5466.0,15.0,16.0,-28.0,9.0,9.0,-11.0,5894.0,-13203.0,-7061.0,3085.0,23.0,-8.0,-3.0,1.0
2022-05-06 11:21:12.242604-07:00,1182.3,679.9,973.9,947.5,818.5,778.6,1611.5,1620.9,3474.6,3479.5,995.3,818.5,1458.9,3474.6,1256.9,1176.2,3488.0,3474.6,263.0,619.7,995.3,1316.9,491.7,1609.6,3475.9,3483.2,612.5,680.7,1519.9,994.5,893.2,801.9,0.0,-12.0,5.0,8639.0,-9762.0,8282.0,-5470.0,-15.0,9.0,22.0,7.0,8.0,-5.0,5898.0,-13200.0,-7061.0,3089.0,-8.0,2.0,9.0,1.0
2022-05-06 11:21:12.331933-07:00,1182.3,679.9,973.9,947.5,818.5,776.1,1605.8,1618.1,3474.6,3479.5,995.3,813.5,1458.9,3478.3,1256.0,1185.9,3473.4,3474.6,258.4,619.7,991.9,1316.9,491.7,1609.6,3483.2,3475.9,614.9,680.7,1514.3,994.5,893.2,801.9,8.0,2.0,8.0,8636.0,-9765.0,8291.0,-5456.0,-23.0,2.0,16.0,4.0,12.0,-11.0,5891.0,-13204.0,-7061.0,3087.0,-4.0,-10.0,-5.0,1.0
2022-05-06 11:21:12.361822-07:00,1180.6,672.5,964.5,947.5,823.5,776.1,1605.8,1618.1,3479.5,3473.4,996.2,813.5,1463.5,3478.3,1256.0,1185.9,3473.4,3474.6,258.4,616.5,991.9,1317.8,493.2,1607.7,3483.2,3475.9,614.9,686.4,1514.3,987.6,895.7,801.9,2.0,-10.0,4.0,8636.0,-9764.0,8291.0,-5458.0,10.0,11.0,7.0,8.0,9.0,-4.0,5894.0,-13200.0,-7062.0,3094.0,16.0,-9.0,-6.0,1.0
2022-05-06 11:21:12.392791-07:00,1180.6,672.5,964.5,947.5,823.5,769.5,1614.3,1621.8,3479.5,3473.4,996.2,818.5,1463.5,3474.6,1261.3,1189.4,3475.9,3478.3,261.4,616.5,996.2,1317.8,493.2,1607.7,3475.9,3481.9,614.9,686.4,1515.3,987.6,895.7,801.9,6.0,-1.0,2.0,8637.0,-9765.0,8292.0,-5451.0,6.0,-19.0,-2.0,7.0,7.0,-11.0,5891.0,-13203.0,-7060.0,3094.0,-5.0,-2.0,14.0,1.0
2022-05-06 11:21:12.481731-07:00,1185.9,672.5,973.9,947.5,820.2,769.5,1614.3,1621.8,3475.9,3473.4,1001.3,818.5,1463.5,3474.6,1261.3,1189.4,3475.9,3478.3,261.4,616.5,996.2,1315.1,486.1,1607.7,3475.9,3481.9,614.9,684.8,1515.3,993.6,891.5,797.7,3.0,-8.0,12.0,8647.0,-9764.0,8284.0,-5451.0,16.0,-11.0,6.0,6.0,10.0,-6.0,5897.0,-13198.0,-7061.0,3103.0,33.0,-21.0,-12.0,1.0
2022-05-06 11:21:12.512562-07:00,1185.9,672.5,973.9,949.2,820.2,773.6,1604.0,1607.7,3475.9,3473.4,1001.3,825.2,1458.0,3480.7,1252.4,1185.9,3469.8,3480.7,264.5,614.1,992.7,1315.1,486.1,1607.7,3479.5,3475.9,617.3,684.0,1521.8,993.6,891.5,797.7,6.0,-4.0,4.0,8645.0,-9762.0,8288.0,-5450.0,-13.0,11.0,5.0,8.0,9.0,-14.0,5895.0,-13197.0,-7062.0,3105.0,-26.0,8.0,16.0,1.0
2022-05-06 11:21:12.601665-07:00,1183.2,680.7,982.5,946.6,820.2,773.6,1604.0,1607.7,3464.9,3477.1,1005.6,814.4,1458.0,3480.7,1252.4,1185.9,3469.8,3480.7,264.5,614.1,991.0,1316.9,492.5,1610.5,3479.5,3475.9,617.3,684.0,1513.4,979.9,894.1,800.2,2.0,-4.0,-3.0,8643.0,-9763.0,8289.0,-5451.0,4.0,-9.0,8.0,6.0,9.0,-9.0,5891.0,-13200.0,-7061.0,3104.0,7.0,3.0,-1.0,1.0
2022-05-06 11:21:12.632570-07:00,1183.2,680.7,982.5,946.6,826.0,771.1,1596.4,1617.1,3464.9,3477.1,1005.6,814.4,1461.7,3472.2,1256.0,1185.9,3479.5,3479.5,253.8,614.1,991.0,1316.9,492.5,1610.5,3475.9,3478.3,612.5,680.7,1513.4,979.9,894.1,800.2,6.0,-1.0,4.0,8650.0,-9757.0,8288.0,-5452.0,18.0,-3.0,4.0,8.0,8.0,-10.0,5898.0,-13197.0,-7059.0,3108.0,21.0,-2.0,-3.0,1.0
2022-05-06 11:21:12.633244-07:00,1187.6,680.7,973.9,954.3,826.0,771.1,1596.4,1617.1,3477.1,3488.0,988.5,812.7,1461.7,3472.2,1256.0,1185.9,3479.5,3479.5,253.8,614.1,989.3,1319.6,493.2,1607.7,3475.9,3478.3,612.5,680.7,1510.6,985.9,894.9,804.4,4.0,0.0,2.0,8653.0,-9754.0,8286.0,-5455.0,-3.0,-9.0,5.0,9.0,13.0,-6.0,5902.0,-13195.0,-7059.0,3110.0,-2.0,-1.0,-2.0,1.0
2022-05-06 11:21:12.692697-07:00,1187.6,680.7,973.9,954.3,821.9,770.3,1610.5,1609.6,3477.1,3488.0,988.5,812.7,1463.5,3468.6,1257.8,1182.3,3478.3,3473.4,255.3,616.5,989.3,1319.6,493.2,1607.7,3473.4,3479.5,611.7,684.0,1510.6,985.9,894.9,804.4,5.0,-6.0,7.0,8656.0,-9757.0,8283.0,-5450.0,6.0,-12.0,6.0,8.0,10.0,-9.0,5901.0,-13195.0,-7059.0,3110.0,5.0,-7.0,-2.0,1.0
2022-05-06 11:21:12.781847-07:00,1182.3,679.9,971.3,949.2,821.9,770.3,1610.5,1609.6,3472.2,3469.8,994.5,818.5,1463.5,3468.6,1257.8,1187.6,3474.6,3473.4,255.3,616.5,997.0,1315.1,492.5,1611.5,3474.6,3479.5,611.7,684.0,1519.0,984.2,893.2,802.7,1.0,0.0,0.0,8660.0,-9753.0,8280.0,-5454.0,13.0,-3.0,3.0,5.0,13.0,-8.0,5905.0,-13193.0,-7058.0,3113.0,13.0,-2.0,8.0,1.0
2022-05-06 11:21:12.842619-07:00,1188.5,679.9,971.3,949.2,822.7,785.2,1609.6,1609.6,3474.6,3469.8,994.5,818.5,1460.8,3481.9,1252.4,1187.6,3474.6,3474.6,261.4,619.7,997.0,1315.1,492.5,1604.0,3474.6,3488.0,614.1,684.0,1519.0,984.2,893.2,805.2,2.0,-8.0,7.0,8661.0,-9759.0,8278.0,-5446.0,-9.0,-22.0,6.0,7.0,7.0,-13.0,5903.0,-13194.0,-7058.0,3112.0,5.0,-7.0,-5.0,1.0
2022-05-06 11:21:12.843586-07:00,1188.5,673.3,966.2,940.7,822.7,785.2,1609.6,1610.5,3474.6,3488.0,992.7,817.7,1460.8,3481.9,1252.4,1180.6,3472.2,3474.6,261.4,619.7,990.2,1316.9,489.3,1604.0,3480.7,3488.0,614.1,684.0,1524.5,991.0,889.0,805.2,1.0,1.0,7.0,8661.0,-9755.0,8279.0,-5451.0,16.0,17.0,-7.0,10.0,12.0,-7.0,5908.0,-13192.0,-7057.0,3115.0,1.0,5.0,-2.0,1.0
2022-05-06 11:21:12.901726-07:00,1182.3,673.3,966.2,940.7,816.9,776.9,1607.7,1610.5,3475.9,3488.0,992.7,817.7,1453.4,3488.0,1258.7,1180.6,3472.2,3480.7,253.1,615.7,990.2,1316.9,489.3,1604.9,3480.7,3480.7,610.8,684.8,1524.5,991.0,889.0,799.4,3.0,-4.0,2.0,8657.0,-9758.0,8281.0,-5450.0,-17.0,-8.0,-6.0,7.0,10.0,-11.0,5906.0,-13193.0,-7058.0,3113.0,-4.0,-5.0,-4.0,1.0
2022-05-06 11:21:12.961961-07:00,1182.3,679.9,973.9,944.1,816.9,776.9,1607.7,1611.5,3475.9,3467.4,990.2,812.7,1453.4,3488.0,1258.7,1184.1,3469.8,3480.7,253.1,615.7,988.5,1316.0,493.2,1604.9,3488.0,3480.7,610.8,684.8,1511.5,987.6,887.3,799.4,0.0,-11.0,4.0,8659.0,-9756.0,8280.0,-5452.0,20.0,-9.0,-4.0,7.0,13.0,-8.0,5909.0,-13191.0,-7057.0,3115.0,8.0,-4.0,6.0,1.0
2022-05-06 11:21:12.992079-07:00,1184.1,675.8,973.9,944.1,816.0,776.9,1619.9,1611.5,3474.6,3472.2,990.2,812.7,1458.0,3473.4,1255.1,1184.1,3469.8,3488.0,257.6,613.3,988.5,1316.0,488.5,1619.9,3488.0,3478.3,611.7,684.8,1511.5,987.6,891.5,803.5,6.0,-3.0,10.0,8657.0,-9757.0,8283.0,-5448.0,-20.0,-1.0,8.0,9.0,9.0,-7.0,5908.0,-13191.0,-7058.0,3116.0,-7.0,7.0,2.0,1.0
2022-05-06 11:21:13.082284-07:00,1184.1,675.8,973.9,945.8,816.0,776.9,1597.4,1633.1,3474.6,3472.2,1001.3,817.7,1458.0,3473.4,1253.3,1184.1,3479.5,3474.6,257.6,613.3,990.2,1316.0,488.5,1619.9,3471.0,3478.3,611.7,684.8,1514.3,991.9,891.5,803.5,-2.0,-6.0,0.0,8657.0,-9756.0,8282.0,-5452.0,8.0,-2.0,-10.0,5.0,9.0,-12.0,5908.0,-13191.0,-7058.0,3116.0,5.0,-3.0,-2.0,1.0
2022-05-06 11:21:13.172336-07:00,1192.0,679.1,973.9,945.8,818.5,773.6,1597.4,1633.1,3471.0,3464.9,1001.3,817.7,1462.6,3466.1,1253.3,1184.1,3479.5,3474.6,258.4,614.1,990.2,1316.0,489.3,1605.8,3471.0,3478.3,613.3,688.9,1514.3,991.9,896.6,802.7,2.0,-3.0,12.0,8661.0,-9759.0,8278.0,-5446.0,2.0,-18.0,-4.0,9.0,6.0,-10.0,5908.0,-13189.0,-7062.0,3118.0,7.0,-7.0,-5.0,1.0
2022-05-06 11:21:13.173676-07:00,1192.0,679.1,964.5,950.9,818.5,773.6,1612.4,1599.3,3471.0,3464.9,993.6,811.0,1462.6,3466.1,1256.0,1181.5,3471.0,3475.9,258.4,614.1,985.9,1317.8,489.3,1605.8,3472.2,3479.5,613.3,688.9,1514.3,985.9,896.6,802.7,6.0,-12.0,12.0,8660.0,-9759.0,8279.0,-5447.0,-4.0,16.0,8.0,8.0,7.0,-8.0,5908.0,-13189.0,-7062.0,3118.0,-7.0,4.0,2.0,1.0
2022-05-06 11:21:13.201913-07:00,1184.1,676.6,964.5,950.9,824.4,779.4,1612.4,1599.3,3457.6,3474.6,993.6,811.0,1458.9,3469.8,1256.0,1181.5,3471.0,3475.9,269.1,614.1,985.9,1317.8,488.5,1608.7,3472.2,3479.5,615.7,681.5,1514.3,985.9,889.0,800.2,5.0,-6.0,0.0,8654.0,-9763.0,8281.0,-5447.0,-15.0,2.0,-15.0,9.0,11.0,-15.0,5903.0,-13191.0,-7063.0,3114.0,-4.0,0.0,2.0,1.0
2022-05-06 11:21:13.291856-07:00,1184.1,676.6,974.8,944.1,824.4,779.4,1604.0,1619.9,3457.6,3474.6,994.5,813.5,1458.9,3469.8,1257.8,1177.9,3469.8,3477.1,269.1,614.1,989.3,1316.9,488.5,1608.7,3475.9,3480.7,615.7,681.5,1519.9,986.7,889.0,800.2,5.0,-8.0,8.0,8655.0,-9761.0,8283.0,-5444.0,5.0,0.0,16.0,10.0,8.0,-3.0,5905.0,-13188.0,-7064.0,3121.0,24.0,-20.0,1.0,1.0
2022-05-06 11:21:13.322412-07:00,1188.5,679.1,968.8,944.1,816.9,777.8,1604.0,1619.9,3471.0,3475.9,995.3,813.5,1456.2,3484.4,1257.8,1177.9,3469.8,3477.1,257.6,614.9,989.3,1318.7,490.1,1607.7,3475.9,3480.7,618.1,679.9,1519.9,989.3,892.4,789.4,0.0,-13.0,9.0,8652.0,-9762.0,8283.0,-5449.0,6.0,18.0,-16.0,8.0,5.0,-15.0,5906.0,-13189.0,-7063.0,3119.0,-11.0,16.0,0.0,1.0
2022-05-06 11:21:13.411960-07:00,1188.5,679.1,968.8,946.6,816.9,772.8,1604.0,1603.0,3471.0,3475.9,995.3,820.2,1456.2,3469.8,1260.4,1182.3,3475.9,3484.4,254.6,614.9,986.7,1318.7,490.1,1607.7,3480.7,3479.5,614.9,679.9,1510.6,989.3,892.4,789.4,3.0,-7.0,1.0,8651.0,-9765.0,8282.0,-5446.0,-10.0,-24.0,3.0,12.0,10.0,-11.0,5906.0,-13189.0,-7063.0,3120.0,3.0,-11.0,-5.0,1.0
2022-05-06 11:21:13.412966-07:00,1190.3,679.9,969.6,946.6,826.9,772.8,1604.0,1603.0,3480.7,3475.9,993.6,820.2,1467.2,3469.8,1260.4,1182.3,3475.9,3484.4,254.6,615.7,986.7,1316.9,486.1,1607.7,3480.7,3479.5,614.9,683.1,1510.6,988.5,891.5,801.9,4.0,-1.0,14.0,8655.0,-9764.0,8276.0,-5449.0,7.0,9.0,-15.0,9.0,7.0,-9.0,5912.0,-13184.0,-7063.0,3126.0,13.0,-9.0,-11.0,1.0
2022-05-06 11:21:13.501714-07:00,1190.3,679.9,969.6,942.4,826.9,772.8,1583.3,1604.9,3480.7,3475.9,993.6,818.5,1467.2,3474.6,1251.5,1179.7,3478.3,3478.3,258.4,615.7,986.7,1316.9,486.1,1607.7,3479.5,3466.1,611.7,683.1,1518.0,988.5,891.5,801.9,0.0,-13.0,2.0,8650.0,-9762.0,8280.0,-5455.0,1.0,16.0,8.0,8.0,12.0,-10.0,5912.0,-13185.0,-7062.0,3125.0,-11.0,11.0,10.0,1.0
2022-05-06 11:21:13.503364-07:00,1181.5,681.5,972.2,942.4,825.2,772.8,1583.3,1604.9,3479.5,3469.8,992.7,818.5,1459.8,3474.6,1251.5,1179.7,3478.3,3478.3,258.4,618.1,986.7,1316.9,486.1,1604.9,3479.5,3466.1,611.7,685.6,1518.0,1002.2,916.0,799.4,6.0,-4.0,3.0,8649.0,-9762.0,8283.0,-5451.0,-8.0,3.0,-4.0,10.0,10.0,-15.0,5908.0,-13187.0,-7062.0,3123.0,4.0,-6.0,0.0,1.0
2022-05-06 11:21:13.591833-07:00,1181.5,681.5,972.2,944.1,819.4,780.3,1606.8,1604.0,3479.5,3469.8,992.7,815.2,1456.2,3462.5,1249.7,1181.5,3484.4,3468.6,265.3,619.7,992.7,1316.9,486.1,1604.9,3479.5,3471.0,607.6,679.1,1511.5,1002.2,916.0,799.4,0.0,-4.0,4.0,8652.0,-9761.0,8278.0,-5457.0,16.0,-4.0,-9.0,7.0,9.0,-8.0,5914.0,-13185.0,-7061.0,3126.0,8.0,-3.0,-1.0,1.0
2022-05-06 11:21:13.652413-07:00,1178.8,672.5,969.6,954.3,819.4,780.3,1606.8,1604.0,3479.5,3478.3,997.0,818.5,1456.2,3462.5,1249.7,1181.5,3484.4,3468.6,265.3,619.7,985.9,1318.7,491.7,1604.9,3479.5,3471.0,607.6,679.1,1518.0,987.6,894.1,802.7,4.0,-10.0,13.0,8652.0,-9764.0,8277.0,-5454.0,-9.0,-14.0,5.0,8.0,10.0,-11.0,5913.0,-13185.0,-7061.0,3126.0,-4.0,3.0,-4.0,1.0
2022-05-06 11:21:13.653525-07:00,1178.8,672.5,969.6,954.3,817.7,773.6,1604.9,1607.7,3479.5,3478.3,997.0,818.5,1457.1,3464.9,1252.4,1185.0,3471.0,3480.7,256.9,618.1,985.9,1318.7,491.7,1604.9,3481.9,3472.2,617.3,680.7,1518.0,987.6,894.1,802.7,6.0,-7.0,4.0,8652.0,-9764.0,8277.0,-5454.0,-2.0,4.0,-3.0,10.0,11.0,-13.0,5912.0,-13185.0,-7062.0,3124.0,2.0,-2.0,5.0,1.0
2022-05-06 11:21:13.741879-07:00,1185.9,679.9,974.8,945.8,817.7,773.6,1604.9,1607.7,3468.6,3468.6,996.2,816.9,1457.1,3464.9,1252.4,1185.0,3471.0,3480.7,256.9,618.1,992.7,1314.2,486.9,1611.5,3481.9,3472.2,617.3,680.7,1514.3,995.3,898.3,800.2,2.0,-6.0,2.0,8656.0,-9761.0,8274.0,-5456.0,19.0,-10.0,-7.0,9.0,9.0,-10.0,5916.0,-13184.0,-7062.0,3124.0,16.0,-9.0,-4.0,1.0
2022-05-06 11:21:13.742940-07:00,1185.9,679.9,974.8,945.8,831.1,772.8,1615.2,1604.0,3468.6,3468.6,996.2,816.9,1461.7,3471.0,1256.0,1192.9,3471.0,3474.6,260.7,621.4,992.7,1314.2,486.9,1611.5,3483.2,3486.8,608.4,677.4,1514.3,995.3,898.3,800.2,7.0,-6.0,15.0,8656.0,-9764.0,8273.0,-5453.0,-7.0,7.0,4.0,8.0,7.0,-9.0,5913.0,-13184.0,-7064.0,3124.0,-12.0,4.0,9.0,1.0
2022-05-06 11:21:13.802242-07:00,1185.9,671.7,962.8,958.5,831.1,772.8,1615.2,1594.6,3472.2,3474.6,996.2,812.7,1461.7,3471.0,1256.0,1177.9,3473.4,3474.6,260.7,621.4,985.9,1317.8,487.7,1600.2,3471.0,3486.8,608.4,677.4,1514.3,986.7,891.5,802.7,0.0,-8.0,6.0,8656.0,-9763.0,8273.0,-5454.0,-5.0,10.0,0.0,8.0,8.0,-11.0,5908.0,-13187.0,-7064.0,3121.0,-2.0,-2.0,4.0,1.0
2022-05-06 11:21:13.832257-07:00,1191.2,671.7,962.8,958.5,821.9,773.6,1602.1,1594.6,3464.9,3474.6,996.2,812.7,1462.6,3467.4,1261.3,1177.9,3473.4,3478.3,262.2,615.7,985.9,1317.8,487.7,1602.1,3471.0,3479.5,615.7,686.4,1514.3,986.7,891.5,802.7,1.0,-2.0,3.0,8659.0,-9763.0,8270.0,-5454.0,28.0,-20.0,-7.0,5.0,12.0,-8.0,5909.0,-13186.0,-7064.0,3120.0,19.0,-6.0,-9.0,1.0
2022-05-06 11:21:13.891910-07:00,1191.2,674.2,967.9,946.6,821.9,773.6,1602.1,1603.0,3464.9,3464.9,999.6,813.5,1462.6,3467.4,1261.3,1185.0,3477.1,3478.3,262.2,615.7,994.5,1316.9,485.3,1602.1,3483.2,3479.5,615.7,686.4,1512.5,986.7,888.2,802.7,8.0,-9.0,12.0,8661.0,-9764.0,8268.0,-5452.0,1.0,6.0,2.0,12.0,6.0,-5.0,5912.0,-13182.0,-7069.0,3121.0,9.0,1.0,0.0,1.0
2022-05-06 11:21:13.981807-07:00,1182.3,674.2,967.9,946.6,817.7,767.8,1611.5,1603.0,3472.2,3464.9,999.6,813.5,1455.2,3473.4,1257.8,1185.0,3477.1,3479.5,256.1,608.4,994.5,1316.9,485.3,1612.4,3483.2,3481.9,614.9,679.1,1512.5,986.7,888.2,800.2,6.0,-8.0,6.0,8660.0,-9764.0,8267.0,-5454.0,12.0,-2.0,-13.0,8.0,7.0,-10.0,5910.0,-13184.0,-7069.0,3118.0,-1.0,4.0,11.0,1.0
2022-05-06 11:21:13.982854-07:00,1182.3,676.6,964.5,955.1,817.7,767.8,1611.5,1598.3,3472.2,3475.9,997.9,809.4,1455.2,3473.4,1257.8,1185.9,3467.4,3479.5,256.1,608.4,986.7,1311.5,490.1,1612.4,3483.2,3481.9,614.9,679.1,1515.3,989.3,893.2,800.2,1.0,-9.0,-2.0,8665.0,-9764.0,8258.0,-5461.0,7.0,-21.0,-11.0,4.0,14.0,-10.0,5912.0,-13183.0,-7067.0,3120.0,11.0,-13.0,-9.0,1.0
2022-05-06 11:21:14.042072-07:00,1186.7,676.6,964.5,955.1,818.5,776.9,1610.5,1598.3,3471.0,3475.9,997.9,809.4,1458.9,3475.9,1255.1,1185.9,3467.4,3490.5,254.6,617.3,986.7,1311.5,490.1,1599.3,3483.2,3472.2,618.1,679.9,1515.3,989.3,893.2,797.7,7.0,0.0,16.0,8667.0,-9764.0,8261.0,-5453.0,-3.0,12.0,18.0,10.0,7.0,-7.0,5910.0,-13182.0,-7072.0,3121.0,1.0,-2.0,4.0,1.0
2022-05-06 11:21:14.101825-07:00,1186.7,672.5,966.2,945.8,818.5,776.9,1613.4,1601.1,3471.0,3468.6,997.9,813.5,1458.9,3475.9,1245.3,1181.5,3485.6,3477.1,254.6,617.3,994.5,1323.2,493.2,1599.3,3477.1,3475.9,618.1,679.9,1538.5,989.3,898.3,797.7,1.0,-13.0,-2.0,8662.0,-9762.0,8265.0,-5459.0,5.0,7.0,-4.0,5.0,9.0,-14.0,5907.0,-13185.0,-7072.0,3113.0,-7.0,13.0,5.0,1.0
2022-05-06 11:21:14.191904-07:00,1183.2,679.1,966.2,945.8,822.7,769.5,1613.4,1601.1,3480.7,3473.4,997.9,813.5,1457.1,3478.3,1245.3,1181.5,3485.6,3477.1,259.9,613.3,994.5,1323.2,489.3,1603.0,3477.1,3475.9,619.7,685.6,1538.5,989.3,893.2,799.4,8.0,-6.0,11.0,8662.0,-9761.0,8268.0,-5456.0,-7.0,3.0,8.0,7.0,6.0,-9.0,5906.0,-13182.0,-7077.0,3115.0,12.0,-13.0,-7.0,1.0
2022-05-06 11:21:14.221853-07:00,1183.2,679.1,966.2,946.6,822.7,769.5,1614.3,1599.3,3480.7,3473.4,991.9,816.0,1457.1,3478.3,1259.6,1174.4,3467.4,3483.2,259.9,613.3,990.2,1316.0,489.3,1603.0,3477.1,3488.0,619.7,685.6,1517.1,990.2,893.2,799.4,8.0,-3.0,8.0,8658.0,-9763.0,8267.0,-5460.0,-16.0,12.0,-19.0,10.0,11.0,-7.0,5906.0,-13182.0,-7077.0,3114.0,-11.0,-3.0,-7.0,1.0
2022-05-06 11:21:14.311822-07:00,1177.0,682.3,966.2,946.6,816.0,772.0,1614.3,1599.3,3474.6,3463.7,991.9,816.0,1463.5,3471.0,1259.6,1174.4,3467.4,3483.2,260.7,618.1,990.2,1316.0,485.3,1604.9,3477.1,3488.0,608.4,681.5,1517.1,990.2,890.7,790.2,5.0,-1.0,9.0,8651.0,-9763.0,8271.0,-5465.0,15.0,17.0,-7.0,7.0,7.0,-9.0,5905.0,-13184.0,-7077.0,3111.0,-1.0,11.0,12.0,1.0
2022-05-06 11:21:14.313507-07:00,1177.0,682.3,968.8,952.6,816.0,772.0,1605.8,1591.7,3474.6,3463.7,996.2,812.7,1463.5,3471.0,1254.2,1189.4,3466.1,3475.9,260.7,618.1,979.9,1323.2,485.3,1604.9,3471.0,3475.9,608.4,681.5,1516.2,988.5,890.7,790.2,4.0,-14.0,7.0,8646.0,-9766.0,8271.0,-5467.0,-1.0,-2.0,-9.0,7.0,9.0,-11.0,5903.0,-13185.0,-7077.0,3110.0,14.0,-13.0,-4.0,1.0
2022-05-06 11:21:14.371701-07:00,1188.5,680.7,962.8,952.6,821.9,777.8,1605.8,1591.7,3477.1,3475.9,990.2,812.7,1456.2,3462.5,1254.2,1189.4,3466.1,3475.9,253.1,614.9,979.9,1316.0,489.3,1600.2,3471.0,3475.9,614.9,683.1,1516.2,992.7,888.2,798.5,1.0,-2.0,8.0,8649.0,-9764.0,8269.0,-5469.0,-19.0,-11.0,-4.0,6.0,3.0,-6.0,5906.0,-13182.0,-7078.0,3114.0,-11.0,-7.0,-7.0,1.0
2022-05-06 11:21:14.401862-07:00,1188.5,680.7,962.8,935.6,821.9,778.6,1593.6,1592.7,3477.1,3475.9,990.2,825.2,1456.2,3474.6,1254.2,1183.2,3474.6,3481.9,254.6,614.9,989.3,1316.0,489.3,1600.2,3472.2,3485.6,615.7,683.1,1507.8,992.7,888.2,798.5,3.0,-14.0,10.0,8646.0,-9767.0,8269.0,-5468.0,-1.0,6.0,1.0,8.0,4.0,-6.0,5903.0,-13183.0,-7079.0,3112.0,0.0,12.0,2.0,1.0
2022-05-06 11:21:14.431993-07:00,1183.2,675.0,963.7,935.6,823.5,778.6,1593.6,1592.7,3468.6,3471.0,992.7,825.2,1465.4,3474.6,1254.2,1183.2,3474.6,3481.9,254.6,616.5,989.3,1315.1,487.7,1601.1,3472.2,3485.6,615.7,682.3,1507.8,979.9,894.1,801.9,9.0,2.0,10.0,8647.0,-9766.0,8271.0,-5466.0,-6.0,6.0,-3.0,9.0,5.0,-9.0,5903.0,-13183.0,-7079.0,3110.0,5.0,-6.0,-1.0,1.0
2022-05-06 11:21:14.491902-07:00,1183.2,675.0,963.7,942.4,823.5,774.5,1613.4,1593.6,3468.6,3471.0,992.7,819.4,1465.4,3466.1,1252.4,1182.3,3484.4,3478.3,273.7,616.5,986.7,1315.1,487.7,1601.1,3488.0,3478.3,612.5,682.3,1512.5,979.9,894.1,801.9,3.0,-7.0,2.0,8644.0,-9767.0,8267.0,-5475.0,3.0,2.0,-16.0,6.0,9.0,-10.0,5903.0,-13184.0,-7080.0,3107.0,-3.0,4.0,-4.0,1.0
2022-05-06 11:21:14.612233-07:00,1182.3,676.6,970.5,942.4,821.0,774.5,1613.4,1593.6,3473.4,3468.6,997.0,819.4,1459.8,3466.1,1252.4,1182.3,3484.4,3478.3,273.7,614.1,986.7,1320.5,492.5,1597.4,3488.0,3478.3,612.5,684.8,1512.5,993.6,894.1,803.5,8.0,-2.0,15.0,8643.0,-9769.0,8267.0,-5473.0,9.0,-5.0,1.0,5.0,8.0,-9.0,5901.0,-13184.0,-7080.0,3108.0,9.0,-6.0,12.0,1.0
