Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-23 15:05:20.910223-07:00,1321.4,985.0,1075.6,991.0,1103.4,905.9,1766.6,1347.6,3471.0,3474.6,1058.2,835.2,1514.3,3472.2,1216.0,1192.0,3474.6,3478.3,1629.4,2305.6,2814.6,3489.2,1703.3,3486.8,3474.6,3472.2,647.3,836.9,1629.4,1028.8,973.9,869.6,9.0,3.0,0.0,6513.0,-8395.0,10359.0,-6945.0,16.0,73.0,-48.0,-3.0,-3.0,-2.0,5764.0,-8588.0,-10677.0,6888.0,-15.0,23.0,6.0,1.0
2022-05-23 15:05:20.911203-07:00,1320.5,985.0,1075.6,991.0,1104.3,909.3,1767.5,1347.6,3469.8,3474.6,1058.2,835.2,1514.3,3469.8,1217.7,1192.0,3474.6,3478.3,1622.8,2307.7,2814.6,3489.2,1703.3,3486.8,3474.6,3473.4,641.6,828.5,1629.4,1028.8,973.9,871.3,21.0,35.0,23.0,6484.0,-8397.0,10324.0,-7022.0,281.0,135.0,-320.0,-8.0,9.0,7.0,5777.0,-8597.0,-10663.0,6888.0,78.0,68.0,21.0,1.0
2022-05-23 15:05:20.970489-07:00,1320.5,977.3,1071.2,987.6,1104.3,909.3,1767.5,1335.9,3469.8,3467.4,1061.7,837.7,1514.3,3469.8,1217.7,1192.0,3467.4,3478.3,1622.8,2307.7,2816.8,3488.0,1694.8,3486.8,3471.0,3473.4,641.6,828.5,1632.2,1034.9,972.2,871.3,-22.0,-26.0,-48.0,6434.0,-8448.0,10238.0,-7132.0,-201.0,-49.0,-190.0,-23.0,-11.0,11.0,5794.0,-8593.0,-10659.0,6886.0,-159.0,-31.0,-64.0,1.0
2022-05-23 15:05:21.030314-07:00,1321.4,977.3,1071.2,987.6,1094.7,904.2,1762.7,1335.9,3469.8,3467.4,1061.7,837.7,1507.8,3473.4,1217.7,1192.0,3467.4,3469.8,1627.5,2317.0,2816.8,3488.0,1694.8,3492.9,3471.0,3472.2,648.9,849.5,1632.2,1034.9,972.2,866.3,15.0,-20.0,-2.0,6393.0,-8524.0,10233.0,-7085.0,-23.0,-94.0,19.0,-6.0,-5.0,-7.0,5766.0,-8597.0,-10688.0,6860.0,-22.0,-21.0,16.0,1.0
2022-05-23 15:05:21.060994-07:00,1321.4,987.6,1071.2,981.6,1094.7,904.2,1749.3,1344.0,3469.8,3473.4,1060.8,831.1,1507.8,3473.4,1209.7,1187.6,3467.4,3478.3,1627.5,2317.0,2821.3,3483.2,1692.9,3492.9,3467.4,3466.1,648.9,849.5,1640.7,1048.7,969.6,866.3,4.0,4.0,9.0,6416.0,-8514.0,10233.0,-7077.0,60.0,24.0,42.0,-19.0,-14.0,7.0,5768.0,-8586.0,-10679.0,6884.0,45.0,-21.0,15.0,1.0
2022-05-23 15:05:21.150354-07:00,1309.7,984.2,1071.2,981.6,1103.4,904.2,1749.3,1344.0,3458.9,3466.1,1060.8,831.1,1519.0,3464.9,1209.7,1187.6,3467.4,3478.3,1623.7,2309.7,2821.3,3483.2,1697.6,3484.4,3467.4,3466.1,643.2,836.9,1640.7,1048.7,968.8,864.6,-2.0,7.0,-11.0,6427.0,-8500.0,10227.0,-7091.0,-8.0,-32.0,-8.0,-9.0,4.0,-2.0,5769.0,-8580.0,-10675.0,6897.0,-5.0,-19.0,-5.0,1.0
2022-05-23 15:05:21.180399-07:00,1309.7,984.2,1074.7,975.6,1103.4,904.2,1751.2,1349.4,3458.9,3466.1,1059.1,831.9,1519.0,3464.9,1202.7,1181.5,3478.3,3467.4,1623.7,2309.7,2813.5,3495.3,1697.6,3484.4,3466.1,3477.1,643.2,836.9,1639.8,1029.7,968.8,864.6,1.0,-19.0,0.0,6435.0,-8504.0,10229.0,-7077.0,39.0,-6.0,48.0,-4.0,-2.0,-4.0,5765.0,-8573.0,-10680.0,6903.0,27.0,-21.0,-9.0,1.0
2022-05-23 15:05:21.210505-07:00,1319.6,985.9,1074.7,975.6,1097.3,903.4,1751.2,1349.4,3466.1,3478.3,1059.1,831.9,1528.3,3469.8,1202.7,1181.5,3478.3,3467.4,1619.9,2324.3,2813.5,3495.3,1687.2,3479.5,3466.1,3477.1,647.3,842.8,1639.8,1029.7,965.4,888.2,0.0,0.0,-3.0,6458.0,-8474.0,10224.0,-7098.0,108.0,34.0,28.0,-6.0,4.0,1.0,5777.0,-8559.0,-10669.0,6926.0,85.0,-14.0,-4.0,1.0
2022-05-23 15:05:21.270591-07:00,1319.6,985.9,1067.7,969.6,1097.3,903.4,1744.5,1339.5,3466.1,3478.3,1062.5,832.7,1528.3,3469.8,1211.5,1189.4,3483.2,3473.4,1619.9,2324.3,2816.8,3497.8,1687.2,3479.5,3469.8,3467.4,647.3,842.8,1634.1,1028.8,965.4,888.2,6.0,1.0,-10.0,6471.0,-8458.0,10218.0,-7115.0,-4.0,-20.0,-9.0,-2.0,2.0,-1.0,5784.0,-8546.0,-10663.0,6945.0,27.0,-28.0,-13.0,1.0
2022-05-23 15:05:21.330253-07:00,1317.8,966.2,1070.3,969.6,1103.4,901.7,1744.5,1339.5,3460.1,3474.6,1062.5,832.7,1520.8,3467.4,1211.5,1189.4,3483.2,3473.4,1627.5,2302.5,2816.8,3492.9,1687.2,3484.4,3469.8,3467.4,648.9,831.1,1634.1,1034.0,966.2,866.3,3.0,-7.0,0.0,6472.0,-8458.0,10216.0,-7117.0,53.0,20.0,8.0,-4.0,2.0,3.0,5785.0,-8534.0,-10664.0,6958.0,35.0,-16.0,3.0,1.0
2022-05-23 15:05:21.360713-07:00,1317.8,966.2,1070.3,977.3,1103.4,906.7,1754.1,1338.6,3460.1,3474.6,1062.5,831.1,1520.8,3467.4,1203.5,1193.8,3471.0,3463.7,1619.9,2302.5,2821.3,3492.9,1687.2,3484.4,3466.1,3473.4,644.0,831.1,1632.2,1034.0,966.2,866.3,-1.0,-4.0,-9.0,6471.0,-8453.0,10216.0,-7124.0,-34.0,14.0,-3.0,0.0,5.0,0.0,5782.0,-8531.0,-10666.0,6961.0,-25.0,-19.0,-9.0,1.0
2022-05-23 15:05:21.420362-07:00,1314.2,970.5,1065.1,977.3,1096.4,906.7,1754.1,1338.6,3466.1,3468.6,1054.8,831.1,1515.3,3467.4,1203.5,1193.8,3471.0,3463.7,1619.9,2302.5,2821.3,3489.2,1683.3,3488.0,3466.1,3473.4,644.0,836.9,1632.2,1022.8,968.8,878.0,-1.0,-12.0,-5.0,6458.0,-8455.0,10225.0,-7119.0,-1.0,28.0,1.0,-4.0,-2.0,0.0,5775.0,-8531.0,-10674.0,6954.0,-4.0,-14.0,-13.0,1.0
2022-05-23 15:05:21.480311-07:00,1314.2,970.5,1065.1,980.7,1096.4,905.9,1740.6,1319.6,3466.1,3468.6,1054.8,824.4,1515.3,3457.6,1209.7,1194.7,3471.0,3468.6,1618.1,2302.5,2810.1,3489.2,1683.3,3488.0,3468.6,3464.9,641.6,836.9,1638.8,1022.8,968.8,878.0,-1.0,0.0,-12.0,6454.0,-8450.0,10228.0,-7126.0,-12.0,12.0,-6.0,-8.0,2.0,-1.0,5774.0,-8531.0,-10676.0,6952.0,-15.0,-4.0,-10.0,1.0
2022-05-23 15:05:21.510455-07:00,1309.7,976.5,1073.8,980.7,1102.5,905.9,1740.6,1319.6,3468.6,3467.4,1057.3,824.4,1515.3,3457.6,1209.7,1194.7,3471.0,3468.6,1618.1,2296.2,2810.1,3481.9,1677.6,3496.6,3468.6,3464.9,641.6,836.9,1638.8,1035.7,972.2,876.4,2.0,-3.0,-9.0,6449.0,-8453.0,10232.0,-7122.0,-16.0,-3.0,6.0,-4.0,2.0,0.0,5771.0,-8527.0,-10683.0,6949.0,-5.0,-14.0,-20.0,1.0
2022-05-23 15:05:21.630419-07:00,1309.7,976.5,1073.8,976.5,1102.5,921.1,1734.9,1331.4,3468.6,3467.4,1057.3,832.7,1515.3,3468.6,1204.4,1186.7,3480.7,3457.6,1620.9,2296.2,2809.0,3481.9,1677.6,3496.6,3467.4,3473.4,641.6,836.9,1636.0,1035.7,972.2,876.4,1.0,-12.0,-7.0,6446.0,-8452.0,10238.0,-7115.0,-33.0,14.0,33.0,-4.0,0.0,0.0,5770.0,-8517.0,-10691.0,6950.0,-5.0,-17.0,-20.0,1.0
2022-05-23 15:05:21.631420-07:00,1299.8,973.1,1069.5,971.3,1092.9,921.1,1734.9,1331.4,3468.6,3458.9,1062.5,827.7,1518.0,3468.6,1204.4,1186.7,3480.7,3457.6,1620.9,2292.1,2804.6,3491.7,1680.5,3489.2,3467.4,3473.4,641.6,837.7,1625.6,1029.7,969.6,875.5,5.0,4.0,-5.0,6443.0,-8444.0,10255.0,-7105.0,-12.0,17.0,18.0,-1.0,0.0,0.0,5765.0,-8516.0,-10695.0,6949.0,-15.0,-6.0,3.0,1.0
2022-05-23 15:05:21.660392-07:00,1299.8,973.1,1069.5,971.3,1101.7,908.4,1721.5,1327.8,3468.6,3458.9,1062.5,827.7,1512.5,3471.0,1208.9,1190.3,3474.6,3474.6,1616.2,2296.2,2804.6,3491.7,1680.5,3489.2,3472.2,3475.9,641.6,837.7,1625.6,1029.7,969.6,875.5,-1.0,0.0,-17.0,6434.0,-8443.0,10258.0,-7108.0,-2.0,7.0,-21.0,-6.0,-1.0,-5.0,5761.0,-8517.0,-10699.0,6945.0,-11.0,-12.0,-14.0,1.0
2022-05-23 15:05:21.780670-07:00,1308.8,979.9,1064.3,973.1,1101.7,908.4,1721.5,1327.8,3462.5,3473.4,1054.8,832.7,1512.5,3471.0,1208.9,1190.3,3474.6,3474.6,1616.2,2296.2,2804.6,3484.4,1679.5,3497.8,3472.2,3475.9,641.6,837.7,1634.1,1033.2,963.7,864.6,6.0,-3.0,1.0,6428.0,-8440.0,10258.0,-7117.0,58.0,60.0,5.0,-6.0,0.0,-1.0,5766.0,-8506.0,-10702.0,6950.0,45.0,-5.0,-19.0,1.0
2022-05-23 15:05:21.781793-07:00,1308.8,979.9,1064.3,973.1,1092.1,903.4,1733.0,1318.7,3462.5,3473.4,1054.8,832.7,1520.8,3463.7,1208.0,1188.5,3475.9,3473.4,1610.5,2295.2,2804.6,3484.4,1679.5,3497.8,3472.2,3477.1,635.9,840.3,1634.1,1033.2,963.7,864.6,-1.0,1.0,-18.0,6421.0,-8425.0,10260.0,-7138.0,-33.0,7.0,-13.0,-4.0,1.0,1.0,5768.0,-8503.0,-10705.0,6948.0,-53.0,8.0,-5.0,1.0
2022-05-23 15:05:21.810462-07:00,1303.4,964.5,1076.4,979.0,1092.1,903.4,1733.0,1318.7,3475.9,3468.6,1055.6,826.0,1520.8,3463.7,1208.0,1188.5,3475.9,3473.4,1610.5,2295.2,2801.2,3483.2,1675.7,3491.7,3472.2,3477.1,635.9,840.3,1640.7,1031.4,967.1,873.0,-2.0,-15.0,-11.0,6410.0,-8434.0,10269.0,-7125.0,-23.0,-12.0,22.0,-5.0,-1.0,-3.0,5759.0,-8510.0,-10712.0,6935.0,-14.0,-5.0,8.0,1.0
2022-05-23 15:05:21.870987-07:00,1301.6,964.5,1076.4,979.0,1098.2,909.3,1726.3,1309.7,3474.6,3468.6,1055.6,826.0,1524.5,3473.4,1206.2,1189.4,3471.0,3468.6,1619.0,2305.6,2801.2,3483.2,1675.7,3499.0,3472.2,3480.7,653.8,838.6,1640.7,1031.4,967.1,873.8,7.0,9.0,-6.0,6417.0,-8429.0,10270.0,-7122.0,31.0,3.0,-8.0,-6.0,1.0,-2.0,5759.0,-8511.0,-10709.0,6938.0,15.0,3.0,4.0,1.0
2022-05-23 15:05:21.900497-07:00,1301.6,970.5,1083.4,971.3,1098.2,909.3,1726.3,1316.9,3474.6,3477.1,1060.8,827.7,1524.5,3473.4,1206.2,1185.0,3488.0,3468.6,1619.0,2305.6,2799.0,3486.8,1676.7,3499.0,3475.9,3480.7,653.8,838.6,1636.9,1024.5,962.0,873.8,-1.0,0.0,-10.0,6416.0,-8435.0,10260.0,-7132.0,1.0,1.0,-56.0,-6.0,1.0,0.0,5757.0,-8513.0,-10711.0,6935.0,-22.0,2.0,-9.0,1.0
2022-05-23 15:05:21.960911-07:00,1297.2,970.5,1083.4,971.3,1106.9,922.8,1731.1,1316.9,3467.4,3477.1,1060.8,827.7,1517.1,3468.6,1210.6,1185.0,3488.0,3469.8,1647.3,2287.9,2799.0,3486.8,1676.7,3489.2,3475.9,3478.3,636.7,843.6,1636.9,1024.5,962.0,870.5,-4.0,-6.0,-13.0,6407.0,-8449.0,10245.0,-7144.0,27.0,-6.0,-52.0,-9.0,-1.0,-5.0,5754.0,-8513.0,-10717.0,6929.0,-6.0,0.0,-14.0,1.0
2022-05-23 15:05:22.050369-07:00,1297.2,967.1,1061.7,973.9,1106.9,922.8,1731.1,1310.6,3467.4,3472.2,1056.5,826.9,1517.1,3468.6,1210.6,1187.6,3473.4,3469.8,1647.3,2287.9,2797.9,3490.5,1675.7,3489.2,3474.6,3478.3,636.7,843.6,1628.4,1024.5,959.4,870.5,2.0,-7.0,-14.0,6409.0,-8455.0,10226.0,-7162.0,44.0,-18.0,-29.0,-2.0,0.0,-5.0,5760.0,-8505.0,-10717.0,6933.0,26.0,-15.0,-12.0,1.0
2022-05-23 15:05:22.140316-07:00,1302.5,967.1,1061.7,973.9,1088.6,905.9,1731.1,1310.6,3463.7,3472.2,1056.5,826.9,1515.3,3478.3,1210.6,1187.6,3473.4,3477.1,1613.4,2292.1,2797.9,3490.5,1675.7,3491.7,3474.6,3483.2,647.3,829.4,1628.4,1024.5,959.4,867.1,5.0,-7.0,-5.0,6419.0,-8460.0,10217.0,-7162.0,9.0,-21.0,22.0,-4.0,2.0,2.0,5760.0,-8498.0,-10715.0,6945.0,17.0,-21.0,0.0,1.0
2022-05-23 15:05:22.200535-07:00,1302.5,960.2,1063.4,980.7,1088.6,905.9,1733.9,1304.3,3463.7,3454.0,1058.2,829.4,1515.3,3478.3,1210.6,1190.3,3474.6,3478.3,1613.4,2292.1,2793.5,3486.8,1668.2,3491.7,3488.0,3472.2,647.3,829.4,1640.7,1020.2,966.2,867.1,2.0,-13.0,-1.0,6427.0,-8453.0,10231.0,-7141.0,-71.0,5.0,106.0,-5.0,2.0,2.0,5752.0,-8502.0,-10717.0,6944.0,-35.0,-4.0,16.0,1.0
2022-05-23 15:05:22.201511-07:00,1307.0,958.5,1063.4,980.7,1100.8,910.1,1733.9,1304.3,3467.4,3467.4,1058.2,829.4,1512.5,3462.5,1210.6,1190.3,3474.6,3478.3,1607.7,2298.3,2793.5,3486.8,1671.9,3495.3,3488.0,3472.2,641.6,839.4,1640.7,1020.2,964.5,873.0,0.0,9.0,-11.0,6432.0,-8428.0,10273.0,-7106.0,-61.0,29.0,121.0,-8.0,1.0,-2.0,5740.0,-8519.0,-10716.0,6933.0,-50.0,11.0,28.0,1.0
2022-05-23 15:05:22.230987-07:00,1307.0,958.5,1074.7,979.0,1100.8,910.1,1730.1,1310.6,3467.4,3467.4,1062.5,826.9,1512.5,3462.5,1202.7,1180.6,3472.2,3478.3,1607.7,2298.3,2799.0,3495.3,1671.9,3495.3,3469.8,3473.4,641.6,839.4,1627.5,1028.0,964.5,873.0,-1.0,-2.0,-8.0,6432.0,-8407.0,10312.0,-7075.0,-37.0,18.0,76.0,-11.0,0.0,-8.0,5732.0,-8529.0,-10718.0,6924.0,-19.0,10.0,16.0,1.0
2022-05-23 15:05:22.292348-07:00,1302.5,956.8,1074.7,979.0,1090.3,912.7,1730.1,1310.6,3463.7,3473.4,1062.5,826.9,1519.0,3460.1,1202.7,1180.6,3472.2,3478.3,1608.7,2284.8,2799.0,3495.3,1669.1,3490.5,3469.8,3473.4,640.0,830.2,1627.5,1028.0,957.7,867.9,2.0,10.0,-14.0,6436.0,-8390.0,10322.0,-7075.0,43.0,12.0,-12.0,-7.0,4.0,-2.0,5734.0,-8536.0,-10713.0,6924.0,11.0,9.0,4.0,1.0
2022-05-23 15:05:22.320444-07:00,1302.5,956.8,1066.0,977.3,1090.3,912.7,1713.8,1307.0,3463.7,3473.4,1053.9,824.4,1519.0,3460.1,1201.8,1185.9,3472.2,3469.8,1608.7,2284.8,2795.7,3497.8,1669.1,3490.5,3475.9,3472.2,640.0,830.2,1626.5,1031.4,957.7,867.9,2.0,-9.0,-6.0,6440.0,-8388.0,10312.0,-7090.0,53.0,18.0,-7.0,-3.0,0.0,-2.0,5738.0,-8533.0,-10709.0,6929.0,41.0,2.0,-1.0,1.0
2022-05-23 15:05:22.350787-07:00,1307.9,974.8,1066.0,977.3,1091.2,909.3,1713.8,1307.0,3467.4,3477.1,1053.9,824.4,1519.9,3469.8,1201.8,1185.9,3472.2,3469.8,1612.4,2283.8,2795.7,3497.8,1674.8,3486.8,3475.9,3472.2,642.4,824.4,1626.5,1031.4,962.0,871.3,2.0,7.0,-8.0,6446.0,-8375.0,10302.0,-7115.0,60.0,34.0,-38.0,-5.0,4.0,-1.0,5747.0,-8531.0,-10701.0,6937.0,14.0,14.0,5.0,1.0
2022-05-23 15:05:22.410306-07:00,1307.9,974.8,1065.1,973.1,1091.2,906.7,1727.2,1295.4,3467.4,3477.1,1059.9,830.2,1519.9,3473.4,1206.2,1177.9,3475.9,3471.0,1609.6,2283.8,2786.8,3486.8,1674.8,3486.8,3466.1,3473.4,644.0,824.4,1636.0,1022.8,962.0,871.3,-4.0,-10.0,-13.0,6440.0,-8368.0,10292.0,-7143.0,24.0,36.0,6.0,-4.0,1.0,-1.0,5751.0,-8530.0,-10698.0,6939.0,8.0,0.0,5.0,1.0
2022-05-23 15:05:22.470371-07:00,1299.0,953.4,1062.5,973.1,1093.8,906.7,1727.2,1295.4,3467.4,3464.9,1050.4,830.2,1513.4,3473.4,1206.2,1177.9,3475.9,3471.0,1609.6,2290.0,2786.8,3499.0,1670.1,3491.7,3466.1,3473.4,644.0,830.2,1636.0,1021.9,962.8,867.1,0.0,-1.0,-9.0,6441.0,-8350.0,10300.0,-7151.0,45.0,34.0,36.0,-7.0,3.0,-2.0,5753.0,-8530.0,-10694.0,6944.0,26.0,8.0,11.0,1.0
2022-05-23 15:05:22.530466-07:00,1299.0,953.4,1062.5,973.1,1093.8,910.1,1710.0,1301.6,3467.4,3464.9,1050.4,838.6,1513.4,3467.4,1192.0,1186.7,3468.6,3463.7,1610.5,2290.0,2789.0,3499.0,1670.1,3491.7,3473.4,3474.6,639.2,830.2,1632.2,1021.9,962.8,867.1,-5.0,2.0,-21.0,6445.0,-8336.0,10302.0,-7160.0,-11.0,0.0,5.0,-6.0,3.0,-4.0,5756.0,-8529.0,-10691.0,6948.0,-2.0,-7.0,-6.0,1.0
2022-05-23 15:05:22.560281-07:00,1297.2,952.6,1066.9,973.1,1089.5,910.1,1710.0,1301.6,3467.4,3462.5,1052.2,838.6,1518.0,3467.4,1192.0,1186.7,3468.6,3463.7,1610.5,2300.4,2789.0,3488.0,1665.3,3486.8,3473.4,3474.6,639.2,826.0,1632.2,1021.1,956.8,866.3,6.0,10.0,-22.0,6451.0,-8347.0,10300.0,-7145.0,-56.0,-52.0,4.0,-8.0,3.0,-9.0,5750.0,-8526.0,-10696.0,6947.0,-4.0,-37.0,-22.0,1.0
2022-05-23 15:05:22.650387-07:00,1297.2,952.6,1066.9,978.2,1089.5,900.0,1728.2,1322.3,3467.4,3462.5,1052.2,826.0,1518.0,3468.6,1205.3,1183.2,3477.1,3475.9,1617.1,2300.4,2792.3,3488.0,1665.3,3486.8,3475.9,3469.8,638.4,826.0,1630.3,1021.1,956.8,866.3,2.0,3.0,-5.0,6458.0,-8353.0,10297.0,-7137.0,62.0,-4.0,7.0,-4.0,3.0,0.0,5751.0,-8513.0,-10699.0,6958.0,43.0,-9.0,1.0,1.0
2022-05-23 15:05:22.651453-07:00,1303.4,960.2,1060.8,965.4,1091.2,900.0,1728.2,1322.3,3466.1,3471.0,1056.5,828.5,1510.6,3468.6,1205.3,1183.2,3477.1,3475.9,1617.1,2280.7,2792.3,3492.9,1655.8,3481.9,3475.9,3469.8,638.4,826.0,1627.5,1028.8,952.6,873.8,0.0,0.0,-1.0,6463.0,-8349.0,10292.0,-7145.0,1.0,11.0,-18.0,-6.0,0.0,1.0,5754.0,-8505.0,-10699.0,6965.0,2.0,-14.0,-16.0,1.0
2022-05-23 15:05:22.740955-07:00,1303.4,960.2,1060.8,965.4,1088.6,900.0,1714.8,1306.1,3466.1,3471.0,1056.5,828.5,1519.0,3466.1,1199.1,1185.9,3480.7,3468.6,1618.1,2293.1,2792.3,3492.9,1655.8,3481.9,3483.2,3471.0,643.2,826.0,1627.5,1028.8,952.6,873.8,-5.0,-7.0,-13.0,6454.0,-8350.0,10289.0,-7155.0,10.0,24.0,-23.0,-6.0,2.0,-1.0,5753.0,-8508.0,-10702.0,6960.0,-29.0,13.0,0.0,1.0
2022-05-23 15:05:22.770395-07:00,1294.5,950.9,1048.7,967.9,1088.6,900.0,1714.8,1306.1,3466.1,3462.5,1052.2,827.7,1519.0,3466.1,1199.1,1185.9,3480.7,3468.6,1618.1,2293.1,2789.0,3485.6,1664.4,3485.6,3483.2,3471.0,643.2,826.0,1636.0,1025.4,962.8,868.8,2.0,0.0,-18.0,6449.0,-8357.0,10288.0,-7153.0,-21.0,-30.0,-17.0,-5.0,1.0,-8.0,5746.0,-8517.0,-10706.0,6947.0,-37.0,6.0,8.0,1.0
2022-05-23 15:05:22.800945-07:00,1294.5,950.9,1048.7,967.9,1086.0,898.3,1713.8,1311.5,3466.1,3462.5,1052.2,827.7,1515.3,3457.6,1196.5,1183.2,3483.2,3467.4,1614.3,2283.8,2789.0,3485.6,1664.4,3485.6,3488.0,3469.8,641.6,825.2,1636.0,1025.4,962.8,868.8,0.0,0.0,-9.0,6453.0,-8365.0,10276.0,-7158.0,79.0,-23.0,-48.0,-5.0,0.0,0.0,5750.0,-8515.0,-10703.0,6951.0,43.0,0.0,10.0,1.0
2022-05-23 15:05:22.950292-07:00,1299.8,956.0,1061.7,969.6,1086.0,898.3,1713.8,1311.5,3478.3,3471.0,1051.3,831.9,1515.3,3457.6,1196.5,1183.2,3483.2,3467.4,1614.3,2283.8,2790.1,3486.8,1667.2,3484.4,3488.0,3469.8,641.6,825.2,1634.1,1025.4,962.8,870.5,-3.0,13.0,-14.0,6469.0,-8380.0,10237.0,-7181.0,62.0,-76.0,-127.0,-8.0,1.0,-6.0,5750.0,-8518.0,-10695.0,6959.0,1.0,4.0,17.0,1.0
2022-05-23 15:05:22.980300-07:00,1299.8,956.0,1061.7,969.6,1092.1,891.5,1717.7,1316.0,3478.3,3471.0,1051.3,831.9,1514.3,3463.7,1196.5,1178.8,3471.0,3469.8,1619.0,2285.9,2790.1,3486.8,1667.2,3484.4,3471.0,3471.0,637.6,821.9,1634.1,1025.4,962.8,870.5,0.0,-10.0,-19.0,6469.0,-8415.0,10179.0,-7222.0,105.0,-8.0,-155.0,-8.0,2.0,1.0,5759.0,-8508.0,-10691.0,6970.0,73.0,-20.0,-36.0,1.0
2022-05-23 15:05:23.010950-07:00,1302.5,954.3,1052.2,965.4,1092.1,891.5,1717.7,1390.3,3468.6,3475.9,1053.9,831.9,1514.3,3463.7,1196.5,1185.9,3480.7,3469.8,1619.0,2285.9,2794.6,3492.9,1665.3,3489.2,3484.4,3471.0,637.6,821.9,1635.0,1018.5,962.0,870.5,-6.0,-22.0,4.0,6463.0,-8426.0,10163.0,-7236.0,2.0,-9.0,56.0,-8.0,2.0,-1.0,5766.0,-8492.0,-10692.0,6982.0,18.0,-3.0,5.0,1.0
2022-05-23 15:05:23.040951-07:00,1298.1,954.3,1052.2,965.4,1096.4,905.9,1751.2,1390.3,3473.4,3475.9,1053.9,831.9,1511.5,3457.6,1202.7,1185.9,3480.7,3474.6,1619.9,2282.8,2794.6,3492.9,1665.3,3489.2,3484.4,3475.9,641.6,823.5,1635.0,1018.5,962.0,864.6,-8.0,15.0,-14.0,6470.0,-8406.0,10176.0,-7237.0,-11.0,39.0,-10.0,-7.0,5.0,-3.0,5763.0,-8500.0,-10691.0,6977.0,-59.0,20.0,14.0,1.0
2022-05-23 15:05:23.070523-07:00,1298.1,957.7,1060.8,962.8,1096.4,905.9,1751.2,1376.6,3473.4,3469.8,1055.6,830.2,1511.5,3457.6,1202.7,1189.4,3471.0,3474.6,1619.9,2282.8,2781.2,3477.1,1680.5,3489.2,3467.4,3475.9,641.6,823.5,1625.6,1024.5,959.4,864.6,-1.0,-10.0,-27.0,6448.0,-8417.0,10185.0,-7230.0,-56.0,25.0,3.0,-6.0,0.0,-9.0,5754.0,-8509.0,-10698.0,6963.0,9.0,-4.0,-5.0,1.0
2022-05-23 15:05:23.130368-07:00,1290.9,957.7,1060.8,962.8,1087.7,901.7,1733.0,1376.6,3467.4,3469.8,1055.6,830.2,1513.4,3468.6,1196.5,1189.4,3471.0,3464.9,1613.4,2270.3,2781.2,3477.1,1680.5,3495.3,3467.4,3480.7,635.1,831.9,1625.6,1024.5,959.4,867.1,0.0,9.0,-6.0,6442.0,-8418.0,10197.0,-7217.0,-14.0,-10.0,27.0,-10.0,1.0,-8.0,5760.0,-8504.0,-10693.0,6972.0,41.0,-8.0,-7.0,1.0
2022-05-23 15:05:23.160392-07:00,1290.9,940.7,1056.5,962.8,1087.7,901.7,1733.0,1399.4,3467.4,3471.0,1050.4,826.9,1513.4,3468.6,1196.5,1181.5,3469.8,3464.9,1613.4,2270.3,2782.4,3484.4,1660.6,3495.3,3468.6,3480.7,635.1,831.9,1621.8,1022.8,956.8,867.1,-3.0,5.0,-7.0,6448.0,-8413.0,10189.0,-7229.0,72.0,12.0,-65.0,-8.0,4.0,-1.0,5769.0,-8496.0,-10688.0,6982.0,21.0,6.0,-8.0,1.0
2022-05-23 15:05:23.250280-07:00,1291.8,941.5,1056.5,962.8,1079.9,906.7,1737.8,1399.4,3473.4,3471.0,1050.4,826.9,1514.3,3462.5,1193.8,1181.5,3469.8,3473.4,1627.5,2287.9,2782.4,3484.4,1665.3,3491.7,3468.6,3472.2,640.0,824.4,1621.8,1022.8,954.3,872.1,-1.0,-16.0,-12.0,6443.0,-8422.0,10168.0,-7252.0,13.0,2.0,-34.0,-7.0,0.0,-5.0,5768.0,-8496.0,-10690.0,6979.0,-10.0,-3.0,-9.0,1.0
2022-05-23 15:05:23.280567-07:00,1291.8,941.5,1052.2,967.9,1079.9,906.7,1737.8,1378.5,3473.4,3471.0,1051.3,831.9,1514.3,3462.5,1198.2,1180.6,3468.6,3483.2,1627.5,2287.9,2787.9,3492.9,1665.3,3491.7,3471.0,3471.0,640.0,824.4,1633.1,1021.1,954.3,872.1,-3.0,4.0,-10.0,6445.0,-8422.0,10162.0,-7259.0,26.0,-1.0,8.0,-7.0,3.0,-1.0,5770.0,-8495.0,-10688.0,6981.0,15.0,2.0,0.0,1.0
2022-05-23 15:05:23.310412-07:00,1288.2,945.8,1052.2,967.9,1095.6,898.3,1737.8,1378.5,3460.1,3462.5,1051.3,831.9,1515.3,3471.0,1198.2,1180.6,3468.6,3483.2,1652.0,2276.5,2787.9,3492.9,1666.3,3481.9,3471.0,3471.0,640.0,814.4,1633.1,1021.1,962.8,862.9,-2.0,3.0,-12.0,6447.0,-8422.0,10154.0,-7269.0,40.0,11.0,-37.0,-8.0,3.0,-2.0,5775.0,-8492.0,-10685.0,6987.0,22.0,4.0,-5.0,1.0
