Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 11:53:19.073784-07:00,1224.8,729.0,1118.2,1040.1,962.8,925.4,1585.2,1218.6,3473.4,3473.4,1041.8,853.7,1493.0,3474.6,1374.8,1334.1,3477.1,3489.2,409.0,665.2,975.6,1208.9,602.0,2243.5,3477.1,3477.1,669.3,909.3,1641.6,1102.5,993.6,867.9,5.0,-7.0,13.0,8852.0,-9009.0,7516.0,-7241.0,-3.0,-2.0,-3.0,9.0,1.0,-5.0,7318.0,-11454.0,8065.0,-4319.0,0.0,2.0,1.0,1.0
2022-05-13 11:53:19.074861-07:00,1224.8,737.3,1118.2,1045.2,962.8,925.4,1590.8,1216.8,3473.4,3463.7,1034.9,867.9,1493.0,3474.6,1371.2,1324.1,3479.5,3473.4,409.0,665.2,970.5,1202.7,594.7,2243.5,3475.9,3475.9,669.3,909.3,1646.4,1090.3,991.0,867.9,1.0,-3.0,10.0,8853.0,-9008.0,7515.0,-7241.0,-4.0,1.0,1.0,10.0,1.0,-1.0,7317.0,-11454.0,8065.0,-4320.0,-4.0,0.0,4.0,1.0
2022-05-13 11:53:19.118733-07:00,1215.1,731.5,1118.2,1045.2,968.8,928.8,1590.8,1216.8,3473.4,3478.3,1034.9,867.9,1494.0,3483.2,1371.2,1324.1,3479.5,3473.4,411.4,668.4,970.5,1202.7,595.5,2244.5,3475.9,3475.9,670.9,903.4,1646.4,1090.3,1001.3,865.4,1.0,-4.0,11.0,8853.0,-9008.0,7515.0,-7242.0,0.0,1.0,-4.0,8.0,0.0,0.0,7317.0,-11454.0,8064.0,-4320.0,6.0,2.0,1.0,1.0
2022-05-13 11:53:19.208816-07:00,1215.1,731.5,1119.1,1047.8,968.8,928.8,1583.3,1208.0,3473.4,3478.3,1035.7,858.7,1494.0,3483.2,1372.1,1320.5,3477.1,3473.4,411.4,668.4,981.6,1210.6,595.5,2244.5,3473.4,3479.5,670.9,903.4,1654.9,1094.7,1001.3,865.4,1.0,-6.0,9.0,8853.0,-9008.0,7515.0,-7242.0,-6.0,1.0,-4.0,10.0,1.0,3.0,7316.0,-11455.0,8064.0,-4321.0,0.0,3.0,4.0,1.0
2022-05-13 11:53:19.210167-07:00,1220.4,739.7,1119.1,1047.8,962.8,930.5,1583.3,1208.0,3473.4,3480.7,1035.7,858.7,1496.7,3475.9,1372.1,1320.5,3477.1,3473.4,411.4,663.6,981.6,1210.6,600.4,2246.6,3473.4,3479.5,666.0,897.4,1654.9,1094.7,985.0,856.2,2.0,-2.0,8.0,8853.0,-9008.0,7515.0,-7242.0,-8.0,5.0,-7.0,9.0,2.0,-1.0,7316.0,-11455.0,8064.0,-4321.0,-5.0,1.0,3.0,1.0
2022-05-13 11:53:19.253600-07:00,1220.4,739.7,1120.0,1041.8,962.8,930.5,1585.2,1216.8,3473.4,3480.7,1047.8,858.7,1496.7,3475.9,1377.5,1325.0,3483.2,3478.3,411.4,663.6,980.7,1205.3,600.4,2246.6,3480.7,3479.5,666.0,897.4,1653.9,1093.8,985.0,856.2,1.0,-4.0,9.0,8853.0,-9008.0,7515.0,-7242.0,-9.0,-3.0,-4.0,5.0,1.0,0.0,7316.0,-11455.0,8064.0,-4321.0,-4.0,0.0,1.0,1.0
2022-05-13 11:53:19.344279-07:00,1238.2,731.5,1120.0,1041.8,967.1,925.4,1585.2,1216.8,3469.8,3474.6,1047.8,858.7,1487.5,3473.4,1377.5,1325.0,3483.2,3478.3,410.6,667.6,980.7,1205.3,593.9,2243.5,3480.7,3479.5,664.4,900.8,1653.9,1093.8,997.9,854.5,3.0,-1.0,8.0,8853.0,-9008.0,7515.0,-7242.0,-7.0,-1.0,-5.0,7.0,2.0,-1.0,7315.0,-11455.0,8064.0,-4321.0,-11.0,1.0,4.0,1.0
2022-05-13 11:53:19.346312-07:00,1238.2,731.5,1117.4,1046.1,967.1,929.6,1589.9,1220.4,3469.8,3474.6,1040.9,858.7,1487.5,3466.1,1374.8,1331.4,3485.6,3481.9,414.5,667.6,982.5,1208.0,593.9,2243.5,3480.7,3472.2,667.6,900.8,1653.0,1096.4,997.9,854.5,1.0,-6.0,13.0,8850.0,-9011.0,7517.0,-7240.0,-5.0,3.0,-4.0,8.0,0.0,-4.0,7314.0,-11456.0,8065.0,-4320.0,-4.0,4.0,2.0,1.0
2022-05-13 11:53:19.433722-07:00,1216.8,727.4,1125.2,1046.1,966.2,929.6,1589.9,1220.4,3475.9,3468.6,1036.6,858.7,1497.7,3466.1,1374.8,1331.4,3485.6,3481.9,414.5,670.1,982.5,1208.0,595.5,2244.5,3480.7,3472.2,667.6,900.8,1653.0,1096.4,994.5,864.6,3.0,-4.0,12.0,8848.0,-9012.0,7519.0,-7238.0,-26.0,10.0,5.0,10.0,2.0,-3.0,7312.0,-11458.0,8066.0,-4318.0,-16.0,6.0,3.0,1.0
2022-05-13 11:53:19.524127-07:00,1216.8,727.4,1125.2,1043.5,966.2,927.9,1572.1,1204.4,3475.9,3468.6,1036.6,860.4,1497.7,3477.1,1373.0,1328.7,3474.6,3472.2,412.9,670.1,983.3,1208.0,595.5,2244.5,3477.1,3483.2,666.8,900.8,1653.9,1096.4,994.5,864.6,5.0,-2.0,11.0,8837.0,-9019.0,7533.0,-7228.0,-56.0,6.0,14.0,13.0,-2.0,1.0,7302.0,-11463.0,8070.0,-4311.0,-36.0,6.0,8.0,1.0
2022-05-13 11:53:19.525419-07:00,1217.7,736.5,1122.6,1043.5,965.4,927.9,1572.1,1204.4,3469.8,3473.4,1042.6,860.4,1490.3,3477.1,1373.0,1328.7,3474.6,3472.2,412.9,666.8,983.3,1210.6,594.7,2246.6,3477.1,3483.2,666.8,899.1,1653.9,1093.8,987.6,865.4,-9.0,-6.0,11.0,8834.0,-9013.0,7543.0,-7230.0,-1.0,47.0,15.0,11.0,-4.0,-6.0,7301.0,-11462.0,8071.0,-4314.0,4.0,-1.0,8.0,1.0
2022-05-13 11:53:19.568570-07:00,1217.7,736.5,1122.6,1044.4,965.4,931.3,1579.6,1214.2,3469.8,3473.4,1042.6,856.2,1490.3,3473.4,1364.8,1316.0,3477.1,3471.0,408.2,666.8,976.5,1210.6,594.7,2246.6,3488.0,3467.4,670.9,899.1,1650.2,1093.8,987.6,865.4,1.0,6.0,2.0,8838.0,-8992.0,7544.0,-7249.0,30.0,23.0,-14.0,9.0,11.0,-2.0,7312.0,-11454.0,8069.0,-4321.0,-3.0,6.0,6.0,1.0
2022-05-13 11:53:19.659079-07:00,1217.7,735.6,1117.4,1037.5,959.4,931.3,1579.6,1214.2,3478.3,3475.9,1043.5,857.9,1488.4,3473.4,1364.8,1316.0,3477.1,3471.0,408.2,665.2,979.9,1213.3,594.7,2245.6,3488.0,3467.4,670.9,887.3,1640.7,1097.3,993.6,862.1,-1.0,-8.0,2.0,8832.0,-8991.0,7544.0,-7259.0,19.0,11.0,-5.0,7.0,-3.0,-1.0,7307.0,-11457.0,8071.0,-4318.0,22.0,5.0,4.0,1.0
2022-05-13 11:53:19.662002-07:00,1217.7,735.6,1117.4,1037.5,969.6,933.9,1581.4,1225.7,3478.3,3475.9,1043.5,857.9,1488.4,3466.1,1363.0,1322.3,3473.4,3483.2,410.6,663.6,979.9,1213.3,594.7,2245.6,3478.3,3483.2,661.9,893.2,1640.7,1097.3,993.6,862.1,9.0,-4.0,4.0,8834.0,-8992.0,7539.0,-7260.0,-8.0,-22.0,-17.0,8.0,4.0,-3.0,7308.0,-11456.0,8071.0,-4318.0,-17.0,-9.0,-3.0,1.0
2022-05-13 11:53:19.703618-07:00,1216.0,729.0,1106.9,1049.6,969.6,933.9,1581.4,1225.7,3478.3,3468.6,1040.9,858.7,1488.4,3466.1,1363.0,1322.3,3473.4,3483.2,410.6,663.6,985.9,1206.2,593.9,2241.4,3478.3,3483.2,661.9,893.2,1660.6,1093.8,991.0,856.2,7.0,-3.0,11.0,8835.0,-9002.0,7530.0,-7255.0,-1.0,-34.0,-6.0,10.0,1.0,-3.0,7309.0,-11458.0,8069.0,-4314.0,15.0,-8.0,-5.0,1.0
2022-05-13 11:53:19.748599-07:00,1216.0,729.0,1106.9,1049.6,973.9,928.8,1581.4,1221.3,3478.3,3468.6,1040.9,858.7,1494.0,3468.6,1366.6,1326.8,3479.5,3480.7,408.2,670.9,985.9,1206.2,593.9,2241.4,3477.1,3479.5,667.6,896.6,1660.6,1093.8,991.0,856.2,-1.0,-7.0,12.0,8837.0,-9009.0,7525.0,-7250.0,-13.0,-13.0,-15.0,12.0,2.0,3.0,7310.0,-11460.0,8068.0,-4311.0,-11.0,-10.0,-7.0,1.0
2022-05-13 11:53:19.928874-07:00,1217.7,734.0,1124.4,1047.0,973.9,928.8,1581.4,1221.3,3478.3,3478.3,1034.9,857.9,1494.0,3468.6,1366.6,1326.8,3479.5,3480.7,408.2,670.9,980.7,1214.2,595.5,2241.4,3477.1,3479.5,667.6,896.6,1650.2,1107.8,996.2,856.2,2.0,-5.0,14.0,8840.0,-9012.0,7520.0,-7248.0,-6.0,-9.0,-1.0,12.0,0.0,0.0,7310.0,-11460.0,8068.0,-4311.0,-3.0,-3.0,2.0,1.0
2022-05-13 11:53:19.930124-07:00,1217.7,734.0,1124.4,1047.0,961.1,916.9,1586.1,1215.1,3478.3,3478.3,1034.9,857.9,1496.7,3462.5,1360.3,1321.4,3473.4,3481.9,413.7,668.4,980.7,1214.2,595.5,2241.4,3474.6,3485.6,673.3,895.7,1650.2,1107.8,996.2,856.2,3.0,-7.0,12.0,8840.0,-9012.0,7520.0,-7248.0,-5.0,8.0,-1.0,11.0,0.0,0.0,7310.0,-11460.0,8068.0,-4311.0,-5.0,1.0,4.0,1.0
2022-05-13 11:53:19.974433-07:00,1217.7,728.2,1129.6,1047.0,961.1,916.9,1586.1,1217.7,3474.6,3468.6,1039.2,857.0,1496.7,3462.5,1360.3,1320.5,3478.3,3481.9,413.7,668.4,981.6,1208.9,595.5,2237.3,3481.9,3485.6,673.3,895.7,1647.3,1097.3,996.2,857.9,6.0,-1.0,9.0,8839.0,-9011.0,7520.0,-7249.0,-7.0,2.0,0.0,14.0,3.0,-5.0,7310.0,-11460.0,8068.0,-4311.0,-12.0,0.0,6.0,1.0
2022-05-13 11:53:19.975754-07:00,1210.6,728.2,1129.6,1047.0,962.8,921.1,1588.0,1217.7,3478.3,3468.6,1039.2,857.0,1491.2,3477.1,1372.1,1320.5,3478.3,3481.9,412.9,661.9,981.6,1208.9,595.5,2233.2,3481.9,3483.2,670.1,892.4,1647.3,1097.3,996.2,856.2,0.0,-8.0,6.0,8839.0,-9012.0,7519.0,-7249.0,4.0,-2.0,-1.0,10.0,0.0,-2.0,7308.0,-11461.0,8068.0,-4310.0,8.0,1.0,1.0,1.0
2022-05-13 11:53:19.976910-07:00,1210.6,731.5,1122.6,1049.6,962.8,921.1,1588.0,1207.1,3478.3,3473.4,1040.1,858.7,1491.2,3477.1,1372.1,1325.9,3488.0,3481.9,412.9,661.9,985.0,1210.6,599.6,2233.2,3477.1,3483.2,670.1,892.4,1654.9,1100.8,991.9,856.2,1.0,-6.0,8.0,8840.0,-9012.0,7519.0,-7249.0,-9.0,-6.0,0.0,9.0,1.0,-2.0,7310.0,-11460.0,8068.0,-4311.0,-6.0,-7.0,0.0,1.0
2022-05-13 11:53:20.108225-07:00,1221.3,731.5,1122.6,1049.6,962.0,923.7,1589.9,1207.1,3475.9,3473.4,1040.1,858.7,1498.6,3472.2,1370.3,1325.9,3488.0,3480.7,409.8,653.0,985.0,1210.6,599.6,2239.4,3477.1,3477.1,671.7,894.1,1654.9,1100.8,991.9,867.1,0.0,-2.0,10.0,8841.0,-9012.0,7518.0,-7249.0,-1.0,-7.0,3.0,11.0,0.0,0.0,7310.0,-11460.0,8068.0,-4311.0,1.0,-9.0,3.0,1.0
2022-05-13 11:53:20.199009-07:00,1221.3,728.2,1120.0,1053.0,962.0,923.7,1589.9,1221.3,3475.9,3466.1,1042.6,859.5,1498.6,3472.2,1370.3,1328.7,3488.0,3480.7,409.8,653.0,980.7,1214.2,591.5,2239.4,3481.9,3477.1,671.7,894.1,1657.7,1095.6,991.0,867.1,1.0,-4.0,13.0,8841.0,-9012.0,7517.0,-7249.0,-1.0,-2.0,-4.0,13.0,1.0,1.0,7310.0,-11460.0,8068.0,-4311.0,4.0,-2.0,3.0,1.0
2022-05-13 11:53:20.200731-07:00,1218.6,738.1,1120.0,1053.0,956.0,933.0,1583.3,1221.3,3469.8,3469.8,1042.6,859.5,1492.1,3483.2,1369.4,1328.7,3488.0,3477.1,410.6,673.3,980.7,1214.2,593.1,2235.3,3481.9,3488.0,669.3,884.8,1657.7,1095.6,991.9,858.7,4.0,-6.0,8.0,8842.0,-9011.0,7517.0,-7250.0,-1.0,7.0,1.0,13.0,2.0,-3.0,7311.0,-11459.0,8067.0,-4311.0,0.0,1.0,4.0,1.0
2022-05-13 11:53:20.288743-07:00,1218.6,738.1,1119.1,1046.1,956.0,933.0,1574.9,1202.7,3469.8,3469.8,1037.5,852.8,1492.1,3483.2,1368.5,1325.9,3467.4,3478.3,410.6,673.3,981.6,1211.5,593.1,2235.3,3479.5,3484.4,669.3,884.8,1656.8,1098.2,991.9,858.7,0.0,-3.0,7.0,8841.0,-9011.0,7517.0,-7250.0,-4.0,-1.0,0.0,12.0,0.0,0.0,7311.0,-11459.0,8067.0,-4311.0,2.0,-3.0,4.0,1.0
2022-05-13 11:53:20.290377-07:00,1219.5,733.2,1119.1,1046.1,963.7,922.8,1574.9,1202.7,3474.6,3477.1,1037.5,852.8,1493.0,3473.4,1368.5,1325.9,3467.4,3478.3,413.7,664.4,981.6,1211.5,602.0,2234.2,3479.5,3484.4,666.8,891.5,1656.8,1098.2,990.2,862.1,0.0,-3.0,6.0,8842.0,-9011.0,7516.0,-7251.0,-6.0,-2.0,-1.0,8.0,2.0,-1.0,7311.0,-11459.0,8067.0,-4311.0,-3.0,-1.0,4.0,1.0
2022-05-13 11:53:20.291435-07:00,1219.5,733.2,1118.2,1040.1,963.7,922.8,1582.4,1211.5,3474.6,3477.1,1033.2,855.3,1493.0,3473.4,1366.6,1317.8,3473.4,3477.1,413.7,664.4,983.3,1212.4,602.0,2234.2,3483.2,3474.6,666.8,891.5,1653.9,1092.9,990.2,862.1,2.0,-3.0,6.0,8842.0,-9011.0,7516.0,-7251.0,-3.0,-8.0,-1.0,10.0,3.0,0.0,7311.0,-11459.0,8067.0,-4311.0,2.0,-2.0,5.0,1.0
2022-05-13 11:53:20.333392-07:00,1217.7,737.3,1118.2,1040.1,962.8,925.4,1582.4,1211.5,3472.2,3473.4,1033.2,855.3,1490.3,3474.6,1366.6,1317.8,3473.4,3477.1,411.4,666.8,983.3,1212.4,596.3,2226.0,3483.2,3474.6,673.3,894.1,1653.9,1092.9,995.3,858.7,0.0,-6.0,6.0,8842.0,-9010.0,7515.0,-7252.0,-2.0,-7.0,-5.0,11.0,0.0,0.0,7311.0,-11459.0,8067.0,-4311.0,7.0,-2.0,1.0,1.0
2022-05-13 11:53:20.424448-07:00,1217.7,737.3,1123.5,1046.1,962.8,921.1,1581.4,1200.9,3472.2,3473.4,1039.2,865.4,1490.3,3474.6,1367.6,1325.9,3481.9,3478.3,410.6,666.8,983.3,1201.8,596.3,2226.0,3467.4,3481.9,665.2,894.1,1648.3,1089.5,995.3,858.7,5.0,-2.0,10.0,8843.0,-9010.0,7514.0,-7252.0,0.0,-3.0,-2.0,12.0,1.0,-1.0,7311.0,-11460.0,8067.0,-4311.0,5.0,-4.0,2.0,1.0
2022-05-13 11:53:20.467901-07:00,1220.4,732.3,1118.2,1046.1,964.5,921.1,1581.4,1200.9,3475.9,3473.4,1035.7,865.4,1495.8,3474.6,1367.6,1325.9,3481.9,3478.3,410.6,670.1,983.3,1214.2,593.9,2231.1,3467.4,3481.9,665.2,889.8,1648.3,1101.7,994.5,859.5,0.0,-5.0,8.0,8844.0,-9010.0,7513.0,-7252.0,-2.0,-5.0,2.0,9.0,1.0,-4.0,7311.0,-11460.0,8067.0,-4311.0,3.0,-4.0,2.0,1.0
2022-05-13 11:53:20.514388-07:00,1220.4,732.3,1118.2,1049.6,964.5,925.4,1588.9,1214.2,3475.9,3473.4,1035.7,856.2,1495.8,3471.0,1368.5,1322.3,3467.4,3475.9,410.6,670.1,983.3,1214.2,593.9,2231.1,3479.5,3473.4,668.4,889.8,1651.1,1101.7,994.5,859.5,3.0,-5.0,12.0,8844.0,-9009.0,7513.0,-7253.0,0.0,1.0,3.0,13.0,0.0,1.0,7311.0,-11460.0,8067.0,-4311.0,2.0,-2.0,6.0,1.0
2022-05-13 11:53:20.558672-07:00,1219.5,728.2,1111.2,1049.6,973.9,925.4,1588.9,1214.2,3475.9,3471.0,1039.2,856.2,1488.4,3471.0,1368.5,1322.3,3467.4,3475.9,410.6,666.8,983.3,1208.0,597.1,2228.1,3479.5,3473.4,668.4,889.8,1651.1,1098.2,994.5,862.1,0.0,-3.0,3.0,8844.0,-9009.0,7513.0,-7253.0,-4.0,1.0,-2.0,13.0,5.0,-1.0,7311.0,-11460.0,8067.0,-4311.0,0.0,1.0,3.0,1.0
2022-05-13 11:53:20.602646-07:00,1219.5,728.2,1111.2,1036.6,973.9,921.1,1600.2,1207.1,3475.9,3471.0,1039.2,853.7,1488.4,3477.1,1372.1,1318.7,3478.3,3478.3,420.8,666.8,973.1,1208.0,597.1,2228.1,3473.4,3472.2,670.9,889.8,1642.6,1098.2,994.5,862.1,3.0,-3.0,4.0,8845.0,-9010.0,7512.0,-7252.0,5.0,-12.0,-1.0,8.0,2.0,-3.0,7311.0,-11460.0,8067.0,-4311.0,8.0,0.0,0.0,1.0
2022-05-13 11:53:20.648412-07:00,1215.1,731.5,1118.2,1036.6,964.5,921.1,1600.2,1207.1,3473.4,3477.1,1044.4,853.7,1492.1,3477.1,1372.1,1318.7,3478.3,3478.3,420.8,666.0,973.1,1208.0,597.1,2227.0,3473.4,3472.2,670.9,893.2,1642.6,1099.0,979.0,867.9,3.0,-4.0,12.0,8848.0,-9013.0,7509.0,-7249.0,-1.0,-16.0,-4.0,11.0,0.0,1.0,7312.0,-11459.0,8067.0,-4311.0,6.0,-6.0,-3.0,1.0
2022-05-13 11:53:20.738824-07:00,1215.1,731.5,1118.2,1041.8,967.1,923.7,1581.4,1206.2,3473.4,3477.1,1044.4,861.2,1490.3,3473.4,1368.5,1328.7,3467.4,3478.3,415.3,666.8,979.9,1208.0,597.1,2227.0,3483.2,3474.6,670.1,889.8,1650.2,1099.0,979.0,867.9,4.0,-7.0,11.0,8849.0,-9014.0,7507.0,-7247.0,-1.0,-4.0,-5.0,10.0,0.0,0.0,7312.0,-11460.0,8066.0,-4311.0,-1.0,-5.0,0.0,1.0
2022-05-13 11:53:20.739783-07:00,1215.1,729.0,1118.2,1047.0,967.1,923.7,1581.4,1206.2,3471.0,3477.1,1040.1,866.3,1490.3,3473.4,1368.5,1328.7,3467.4,3478.3,415.3,666.8,974.8,1209.7,593.1,2233.2,3483.2,3474.6,670.1,889.8,1653.9,1096.4,993.6,866.3,2.0,-4.0,11.0,8849.0,-9014.0,7507.0,-7247.0,-6.0,4.0,4.0,13.0,2.0,0.0,7312.0,-11460.0,8066.0,-4311.0,6.0,0.0,6.0,1.0
2022-05-13 11:53:20.828620-07:00,1215.1,729.0,1118.2,1047.0,970.5,924.5,1581.4,1208.9,3471.0,3477.1,1040.1,866.3,1494.9,3472.2,1365.7,1338.6,3488.0,3479.5,412.9,663.6,974.8,1209.7,593.1,2233.2,3475.9,3485.6,662.7,892.4,1653.9,1096.4,993.6,866.3,4.0,-6.0,10.0,8847.0,-9015.0,7509.0,-7246.0,-3.0,-1.0,-3.0,12.0,1.0,0.0,7312.0,-11460.0,8066.0,-4311.0,-3.0,1.0,5.0,1.0
2022-05-13 11:53:20.829797-07:00,1219.5,729.9,1119.1,1043.5,970.5,924.5,1581.4,1208.9,3469.8,3478.3,1038.3,857.9,1494.9,3472.2,1365.7,1338.6,3488.0,3479.5,412.9,663.6,985.9,1204.4,598.7,2238.4,3475.9,3485.6,662.7,892.4,1654.9,1101.7,990.2,862.1,2.0,-5.0,6.0,8847.0,-9015.0,7509.0,-7246.0,-3.0,3.0,2.0,10.0,2.0,-3.0,7312.0,-11460.0,8066.0,-4311.0,4.0,0.0,3.0,1.0
2022-05-13 11:53:20.920941-07:00,1219.5,729.9,1119.1,1043.5,964.5,926.2,1596.4,1216.0,3469.8,3478.3,1038.3,857.9,1491.2,3477.1,1363.9,1322.3,3469.8,3469.8,411.4,659.5,985.9,1204.4,598.7,2238.4,3478.3,3484.4,666.0,892.4,1654.9,1101.7,990.2,862.1,1.0,-4.0,9.0,8848.0,-9016.0,7508.0,-7245.0,-1.0,-6.0,-3.0,11.0,2.0,1.0,7312.0,-11460.0,8066.0,-4311.0,1.0,-4.0,1.0,1.0
2022-05-13 11:53:21.098757-07:00,1222.2,724.9,1116.5,1038.3,964.5,926.2,1596.4,1202.7,3478.3,3473.4,1034.0,857.9,1491.2,3477.1,1363.9,1326.8,3478.3,3469.8,411.4,659.5,980.7,1215.1,595.5,2233.2,3478.3,3484.4,666.0,892.4,1644.5,1101.7,991.0,865.4,3.0,-5.0,12.0,8848.0,-9016.0,7508.0,-7245.0,-6.0,-7.0,-2.0,11.0,1.0,0.0,7312.0,-11460.0,8066.0,-4311.0,-6.0,-2.0,4.0,1.0
2022-05-13 11:53:21.189900-07:00,1224.8,724.9,1116.5,1038.3,965.4,918.6,1582.4,1202.7,3478.3,3473.4,1034.0,857.9,1493.0,3475.9,1370.3,1326.8,3478.3,3475.9,411.4,665.2,980.7,1215.1,595.5,2235.3,3478.3,3472.2,672.5,889.8,1644.5,1101.7,991.0,857.0,2.0,-4.0,5.0,8848.0,-9016.0,7508.0,-7245.0,3.0,2.0,1.0,11.0,0.0,0.0,7313.0,-11459.0,8066.0,-4311.0,10.0,-6.0,2.0,1.0
2022-05-13 11:53:21.192170-07:00,1224.8,731.5,1118.2,1038.3,965.4,918.6,1582.4,1209.7,3478.3,3477.1,1044.4,859.5,1493.0,3475.9,1370.3,1322.3,3472.2,3475.9,411.4,665.2,990.2,1209.7,597.1,2235.3,3477.1,3472.2,672.5,889.8,1650.2,1095.6,993.6,857.0,4.0,-6.0,11.0,8849.0,-9016.0,7507.0,-7245.0,-8.0,-7.0,-2.0,13.0,1.0,0.0,7313.0,-11460.0,8066.0,-4310.0,-6.0,-11.0,2.0,1.0
2022-05-13 11:53:21.193214-07:00,1204.4,731.5,1118.2,1038.3,964.5,922.8,1576.8,1209.7,3478.3,3477.1,1044.4,859.5,1494.0,3478.3,1368.5,1322.3,3472.2,3477.1,420.8,670.1,990.2,1209.7,597.1,2229.1,3477.1,3473.4,668.4,878.9,1650.2,1095.6,993.6,867.9,0.0,-2.0,9.0,8849.0,-9017.0,7507.0,-7244.0,0.0,-3.0,-1.0,10.0,0.0,1.0,7313.0,-11460.0,8066.0,-4310.0,-1.0,-4.0,4.0,1.0
2022-05-13 11:53:21.194239-07:00,1204.4,727.4,1125.2,1036.6,964.5,922.8,1576.8,1218.6,3478.3,3471.0,1039.2,855.3,1494.0,3478.3,1368.5,1318.7,3477.1,3477.1,420.8,670.1,983.3,1206.2,592.3,2229.1,3477.1,3473.4,668.4,878.9,1645.4,1094.7,996.2,867.9,1.0,-4.0,10.0,8849.0,-9017.0,7507.0,-7244.0,0.0,0.0,1.0,9.0,0.0,1.0,7313.0,-11460.0,8066.0,-4310.0,6.0,-6.0,3.0,1.0
2022-05-13 11:53:21.234658-07:00,1210.6,727.4,1125.2,1036.6,959.4,929.6,1582.4,1218.6,3473.4,3471.0,1039.2,855.3,1489.3,3467.4,1368.5,1318.7,3477.1,3478.3,410.6,673.3,983.3,1206.2,592.3,2228.1,3477.1,3483.2,670.9,890.7,1645.4,1094.7,996.2,863.7,3.0,-8.0,8.0,8849.0,-9017.0,7507.0,-7244.0,-10.0,1.0,-1.0,12.0,1.0,-3.0,7313.0,-11460.0,8066.0,-4310.0,-6.0,-2.0,2.0,1.0
2022-05-13 11:53:21.235927-07:00,1210.6,736.5,1119.1,1043.5,959.4,929.6,1586.1,1219.5,3473.4,3473.4,1036.6,855.3,1489.3,3467.4,1365.7,1326.8,3472.2,3474.6,410.6,673.3,981.6,1208.9,594.7,2228.1,3485.6,3475.9,670.9,890.7,1637.9,1092.9,1003.9,863.7,3.0,-2.0,4.0,8849.0,-9017.0,7507.0,-7244.0,5.0,-9.0,-3.0,13.0,0.0,-3.0,7314.0,-11459.0,8065.0,-4311.0,7.0,-7.0,-1.0,1.0
2022-05-13 11:53:21.280086-07:00,1214.2,739.7,1119.1,1043.5,957.7,919.4,1586.1,1219.5,3468.6,3481.9,1036.6,855.3,1490.3,3468.6,1365.7,1326.8,3472.2,3474.6,408.2,662.7,981.6,1208.9,597.9,2234.2,3485.6,3475.9,672.5,892.4,1637.9,1092.9,995.3,857.0,0.0,-7.0,11.0,8851.0,-9019.0,7505.0,-7241.0,-1.0,-12.0,-4.0,8.0,2.0,1.0,7314.0,-11459.0,8065.0,-4311.0,7.0,-7.0,-2.0,1.0
2022-05-13 11:53:21.325766-07:00,1214.2,739.7,1123.5,1038.3,957.7,919.4,1585.2,1200.0,3468.6,3481.9,1040.9,857.9,1490.3,3468.6,1362.1,1325.9,3469.8,3479.5,408.2,662.7,977.3,1204.4,597.9,2234.2,3467.4,3484.4,672.5,892.4,1647.3,1097.3,995.3,857.0,4.0,-3.0,15.0,8851.0,-9020.0,7504.0,-7240.0,-8.0,-4.0,3.0,12.0,2.0,0.0,7314.0,-11459.0,8065.0,-4310.0,1.0,1.0,4.0,1.0
2022-05-13 11:53:21.483952-07:00,1209.7,731.5,1123.5,1038.3,958.5,920.3,1585.2,1200.0,3472.2,3478.3,1040.9,857.9,1487.5,3480.7,1362.1,1325.9,3469.8,3479.5,409.8,670.9,977.3,1204.4,593.1,2222.9,3467.4,3484.4,670.9,892.4,1647.3,1097.3,986.7,883.9,0.0,-5.0,9.0,8851.0,-9020.0,7504.0,-7240.0,5.0,4.0,0.0,10.0,0.0,0.0,7314.0,-11459.0,8065.0,-4310.0,3.0,-3.0,2.0,1.0
2022-05-13 11:53:21.486042-07:00,1209.7,731.5,1109.5,1046.1,958.5,920.3,1575.8,1197.4,3472.2,3478.3,1042.6,860.4,1487.5,3480.7,1368.5,1318.7,3467.4,3490.5,409.8,670.9,984.2,1209.7,593.1,2222.9,3475.9,3477.1,670.9,892.4,1672.9,1089.5,986.7,883.9,4.0,-5.0,8.0,8849.0,-9021.0,7505.0,-7239.0,-11.0,-2.0,0.0,13.0,-1.0,0.0,7314.0,-11459.0,8065.0,-4310.0,1.0,2.0,2.0,1.0
2022-05-13 11:53:21.507096-07:00,1218.6,734.0,1120.0,1046.1,963.7,933.9,1575.8,1197.4,3472.2,3478.3,1041.8,860.4,1491.2,3467.4,1368.5,1318.7,3467.4,3490.5,412.9,662.7,984.2,1217.7,594.7,2232.2,3475.9,3477.1,661.9,892.4,1672.9,1098.2,996.2,864.6,1.0,-6.0,9.0,8849.0,-9021.0,7505.0,-7239.0,-1.0,-3.0,-3.0,10.0,2.0,1.0,7314.0,-11459.0,8065.0,-4310.0,0.0,2.0,6.0,1.0
